video,frame,n_objects,mean_area,mean_confidence
45112025.MOV,58,6,190560.83333333334,0.6053896620869637
45112025.MOV,59,6,192453.5,0.6685564637184143
45112025.MOV,60,6,193573.16666666666,0.8470436731974283
45112025.MOV,61,6,195032.33333333334,0.7604946295420328
45112025.MOV,62,6,196021.16666666666,0.7945193449656168
45112025.MOV,63,6,196908.0,0.7021534442901611
45112025.MOV,64,6,197846.0,0.6237027645111084
45112025.MOV,65,6,197438.5,0.7212445735931396
45112025.MOV,66,6,197486.66666666666,0.7325435131788254
45112025.MOV,67,6,196755.83333333334,0.7255229204893112
45112025.MOV,68,6,196747.66666666666,0.6920205950737
45112025.MOV,69,6,194889.5,0.6610093861818314
45112025.MOV,70,6,191987.33333333334,0.7175918817520142
45112025.MOV,71,6,188801.5,0.654536614815394
45112025.MOV,72,6,185415.33333333334,0.7138149936993917
45112025.MOV,73,6,182725.5,0.6506375893950462
45112025.MOV,74,6,180042.0,0.6010987013578415
45112025.MOV,75,6,178439.33333333334,0.6992892622947693
45112025.MOV,76,6,176194.16666666666,0.6477369368076324
45112025.MOV,77,5,185051.2,0.7049778004487356
45112025.MOV,78,5,182314.6,0.6239889661471049
45112025.MOV,79,5,181130.6,0.8253474235534668
45112025.MOV,80,5,182128.0,0.6640442162752151
45112025.MOV,81,5,181825.0,0.6661026378472646
45112025.MOV,82,5,181329.6,0.7188920378684998
45112025.MOV,83,5,180812.8,0.6964917083581289
45112025.MOV,84,5,184222.0,0.6618247181177139
45112025.MOV,85,5,184482.2,0.7638489802678426
45112025.MOV,86,5,184873.0,0.7390284935633341
45112025.MOV,87,5,185334.0,0.7539217273394266
45112025.MOV,88,5,186013.8,0.7256665627161661
45112025.MOV,89,5,186811.0,0.7173344294230143
45112025.MOV,90,4,233923.5,0.7947314977645874
45112025.MOV,91,4,245377.5,0.6536971554160118
45112025.MOV,92,4,248082.25,0.726837694644928
45112025.MOV,93,4,253759.25,0.6928122341632843
45112025.MOV,94,4,258845.75,0.7008398473262787
45112025.MOV,95,4,263862.5,0.7500436305999756
45112025.MOV,96,4,268763.25,0.7532016038894653
45112025.MOV,97,4,272343.0,0.6567584077517191
45112025.MOV,98,4,275869.5,0.7055362164974213
45112025.MOV,99,4,280108.25,0.6336982548236847
45112025.MOV,100,4,283939.0,0.6213903526465098
45112025.MOV,101,4,287314.75,0.6725212136904398
45112025.MOV,102,4,289790.5,0.8859973549842834
45112025.MOV,103,4,292631.5,0.707688053448995
45112025.MOV,104,4,295063.5,0.7166955967744192
45112025.MOV,105,4,296760.5,0.7062759002049764
45112025.MOV,106,4,298899.75,0.7484971682230631
45112025.MOV,107,4,299511.0,0.7630781531333923
45112025.MOV,108,4,300127.5,0.8076391816139221
45112025.MOV,109,4,301286.0,0.7881526549657186
45112025.MOV,110,4,302649.5,0.7897323966026306
45112025.MOV,111,4,299768.75,0.7981972893079122
45112025.MOV,112,4,297285.0,0.8422483007113138
45112025.MOV,113,4,295576.5,0.854060967763265
45112025.MOV,114,4,293042.75,0.8485853672027588
45112025.MOV,115,4,291210.75,0.8099867701530457
45112025.MOV,116,4,296111.25,0.6333114206790924
45112025.MOV,117,4,290774.25,0.6955588907003403
45112025.MOV,118,4,287449.0,0.7161882519721985
45112025.MOV,119,4,284222.5,0.7104364236195883
45112025.MOV,120,4,281206.25,0.6213380893071493
45112025.MOV,121,4,275068.75,0.6344300955533981
45112025.MOV,122,4,272080.5,0.5886676609516144
45112025.MOV,123,4,269557.5,0.5345848401387533
45112025.MOV,124,4,266148.0,0.46459347009658813
45112025.MOV,125,4,262793.5,0.5019759684801102
45112025.MOV,126,4,259132.25,0.5177776217460632
45112025.MOV,127,4,258472.5,0.6189107298851013
45112025.MOV,128,4,256698.75,0.7642008662223816
45112025.MOV,129,4,254465.0,0.7858031094074249
45112025.MOV,130,4,252699.75,0.8385117948055267
45112025.MOV,131,4,250613.25,0.8566249310970306
45112025.MOV,132,4,249480.0,0.8814405202865601
45112025.MOV,133,4,247652.5,0.8586703538894653
45112025.MOV,134,4,244761.0,0.7411277890205383
45112025.MOV,135,4,242262.0,0.7417856256167094
45112025.MOV,136,4,240289.75,0.7554133335749308
45112025.MOV,137,4,240338.5,0.5291622430086136
45112025.MOV,138,4,239615.0,0.5861183926463127
45112025.MOV,139,5,255369.6,0.5917051732540131
45112025.MOV,140,5,254539.4,0.7051032185554504
45112025.MOV,141,5,253348.4,0.6005654156208038
45112025.MOV,142,5,252313.4,0.6499086678028106
45112025.MOV,143,5,251671.0,0.7439184188842773
45112025.MOV,144,5,250966.0,0.7483267933130264
45112025.MOV,145,5,251072.0,0.7514615952968597
45112025.MOV,146,5,250479.4,0.7448369115591049
45112025.MOV,147,5,250511.8,0.5472932755947113
45112025.MOV,148,5,250032.2,0.6701968535780907
45112025.MOV,149,5,250419.8,0.5313596650958061
45112025.MOV,150,5,250356.2,0.6120765432715416
45112025.MOV,151,5,251097.0,0.6486741006374359
45112025.MOV,152,5,250744.8,0.6123656928539276
45112025.MOV,153,5,251144.8,0.5451631769537926
45112025.MOV,154,5,251153.0,0.5923337489366531
45112025.MOV,155,5,230290.4,0.49474271535873415
45112025.MOV,156,5,230157.6,0.4776712507009506
45112025.MOV,157,5,249477.6,0.5614075541496277
45112025.MOV,158,5,236580.2,0.6189386129379273
45112025.MOV,159,5,236750.6,0.7717191179593405
45112025.MOV,160,5,235048.2,0.7696015238761902
45112025.MOV,161,5,233757.2,0.6913552805781364
45112025.MOV,162,5,231985.0,0.7016912773251534
45112025.MOV,163,5,229623.4,0.7534642070531845
45112025.MOV,164,5,227430.0,0.8097155392169952
45112025.MOV,165,5,225883.8,0.7789654731750488
45112025.MOV,166,5,225608.8,0.8397936820983887
45112025.MOV,167,5,224104.8,0.6759056150913239
45112025.MOV,168,5,220788.2,0.7059106007218361
45112025.MOV,169,5,217934.6,0.6750226020812988
45112025.MOV,170,5,244951.4,0.5378249287605286
45112025.MOV,171,5,242835.4,0.6007450670003891
45112025.MOV,172,5,242305.4,0.507492470741272
45112025.MOV,173,5,243129.8,0.6553495228290558
45112025.MOV,174,5,242028.6,0.6175773665308952
45112025.MOV,175,5,240194.4,0.5822066307067871
45112025.MOV,176,5,238653.8,0.5440567672252655
45112025.MOV,177,5,238001.6,0.7247079014778137
45112025.MOV,178,5,237324.2,0.557945728302002
45112025.MOV,179,5,236252.6,0.6153394728899002
45112025.MOV,180,6,221831.33333333334,0.5883369266986846
45112025.MOV,181,6,221865.83333333334,0.57969581335783
45112025.MOV,182,6,222734.5,0.5946361944079399
45112025.MOV,183,6,219172.83333333334,0.5226326212286949
45112025.MOV,184,6,218858.33333333334,0.7449157238006592
45112025.MOV,185,6,217242.66666666666,0.5930278599262238
45112025.MOV,186,6,217454.33333333334,0.5326143602530161
45112025.MOV,187,6,217391.5,0.5080647071202596
45112025.MOV,188,6,217084.83333333334,0.5307618081569672
45112025.MOV,189,6,216764.33333333334,0.649897038936615
45112025.MOV,190,6,227247.33333333334,0.5225561757882436
45112025.MOV,191,6,229735.16666666666,0.5163385967413584
45112025.MOV,192,6,230565.16666666666,0.5639958679676056
45112025.MOV,193,6,230739.0,0.6465830206871033
45112025.MOV,194,6,236450.16666666666,0.5364605685075124
45112025.MOV,195,6,236364.16666666666,0.5947968463102976
45112025.MOV,196,6,235665.5,0.748842199643453
45112025.MOV,197,6,234581.16666666666,0.6966103514035543
45112025.MOV,198,6,235000.5,0.6089311838150024
45112025.MOV,199,6,234890.0,0.5466234087944031
45112025.MOV,200,6,235738.66666666666,0.5032553225755692
45112025.MOV,201,6,237528.66666666666,0.5153178373972574
45112025.MOV,202,6,238787.83333333334,0.512011930346489
45112025.MOV,203,6,242991.16666666666,0.5177035133043925
45112025.MOV,204,6,245246.83333333334,0.6454347968101501
45112025.MOV,205,6,243182.16666666666,0.6284835785627365
45112025.MOV,206,6,239644.0,0.606797069311142
45112025.MOV,207,5,238390.0,0.5016286969184875
45112025.MOV,208,5,236862.8,0.583575502038002
45112025.MOV,209,5,239315.4,0.5623116195201874
45112025.MOV,210,5,240537.6,0.5924697518348694
45112025.MOV,211,5,240943.2,0.611515462398529
45112025.MOV,212,4,251551.0,0.6840858459472656
45112025.MOV,213,4,251152.75,0.6874129772186279
45112025.MOV,214,4,249295.5,0.6728624105453491
45112025.MOV,215,4,249629.75,0.6108837723731995
45112025.MOV,216,4,250716.5,0.6742140054702759
45112025.MOV,217,4,251944.0,0.6174399852752686
45112025.MOV,218,4,253126.0,0.7228490114212036
45112025.MOV,219,4,250044.0,0.6095598042011261
45112025.MOV,220,4,250860.75,0.6858710050582886
45112025.MOV,221,4,249772.0,0.4871322363615036
45112025.MOV,222,3,242224.66666666666,0.6773114800453186
45112025.MOV,223,3,242730.0,0.6992900967597961
45112025.MOV,224,3,244138.33333333334,0.6829110980033875
45112025.MOV,225,3,244251.0,0.48222115635871887
45112025.MOV,226,3,247213.66666666666,0.6001458168029785
45112025.MOV,227,3,247614.66666666666,0.5615828633308411
45112025.MOV,228,3,257640.66666666666,0.5638810992240906
45112025.MOV,229,3,260694.66666666666,0.4720737636089325
45112025.MOV,230,3,261003.66666666666,0.5511756539344788
45112025.MOV,231,3,254901.66666666666,0.3340221345424652
45112025.MOV,232,3,251862.0,0.6371358036994934
45112025.MOV,233,3,253358.33333333334,0.4811309278011322
45112025.MOV,234,2,243550.0,0.42408163845539093
45112025.MOV,235,2,239647.0,0.5496208220720291
45112025.MOV,236,2,236594.0,0.5460902452468872
45112025.MOV,237,2,240774.0,0.5256951600313187
45112025.MOV,238,2,239093.0,0.571754515171051
45112025.MOV,239,2,245692.5,0.5416494309902191
45112025.MOV,240,2,247009.5,0.5191814601421356
45112025.MOV,241,2,247623.0,0.5144432783126831
45112025.MOV,242,3,255755.0,0.47967849175135296
45112025.MOV,243,3,255254.66666666666,0.4790586978197098
45112025.MOV,244,3,256192.66666666666,0.45212721824645996
45112025.MOV,245,3,257255.0,0.5146793276071548
45112025.MOV,246,3,257660.66666666666,0.5409099757671356
45112025.MOV,247,3,257618.33333333334,0.6607166230678558
45112025.MOV,248,3,255535.0,0.6418565809726715
45112025.MOV,249,3,253365.66666666666,0.5122393568356832
45112025.MOV,250,3,251930.0,0.559451142946879
45112025.MOV,251,3,251797.33333333334,0.5397791564464569
45112025.MOV,252,3,250462.66666666666,0.6325994431972504
45112025.MOV,253,3,250805.33333333334,0.6723182499408722
45112025.MOV,254,3,250651.0,0.5095913509527842
45112025.MOV,255,3,252636.0,0.5960732400417328
45112025.MOV,256,3,253332.33333333334,0.4505149722099304
45112025.MOV,257,3,252301.66666666666,0.5180460214614868
45112025.MOV,258,3,251173.66666666666,0.5091833670934042
45112025.MOV,259,3,251600.66666666666,0.6919342279434204
45112025.MOV,260,3,251687.0,0.5398675501346588
45112025.MOV,261,3,251907.0,0.5633163352807363
45112025.MOV,262,3,252033.33333333334,0.5497876306374868
45112025.MOV,263,3,252147.66666666666,0.7046953737735748
45112025.MOV,264,3,252025.0,0.6375811994075775
45112025.MOV,265,3,253510.0,0.6904217302799225
45112025.MOV,266,3,256906.66666666666,0.5768363972504934
45112025.MOV,267,3,256522.66666666666,0.5777285397052765
45112025.MOV,268,3,258581.33333333334,0.6177135606606802
45112025.MOV,269,3,258389.33333333334,0.6773410240809122
45112025.MOV,270,3,260334.0,0.5168743431568146
45112025.MOV,271,3,261635.0,0.67148157954216
45112025.MOV,272,3,264206.3333333333,0.5488133281469345
45112025.MOV,273,3,264365.6666666667,0.6353281736373901
45112025.MOV,274,3,265328.3333333333,0.6548157036304474
45112025.MOV,275,3,267579.6666666667,0.621477335691452
45112025.MOV,276,3,268390.3333333333,0.667814165353775
45112025.MOV,277,3,257424.0,0.5234478563070297
